cohort,gene_symbol,hedges_g,variance
GSE96804,A2M,0.577654091252433,0.07721807652227525
GSE96804,ACAN,0.6195404516826784,0.07764304365897443
GSE96804,ACTA1,-0.9448688897854627,0.08195615253705268
GSE96804,ACTA2,0.9544202029446601,0.08210988732437907
GSE96804,ACTC1,-0.2623874403098719,0.07497369448576416
GSE96804,ACTG1,-0.9106275895285322,0.08141772362117246
GSE96804,ACTG2,-0.21509856762865148,0.07478234046003138
GSE96804,ACTN1,1.1396360238267955,0.08539677158721655
GSE96804,ADAM10,1.5234117688753377,0.0940578999833533
GSE96804,ADAM12,1.0254867278159945,0.08330230346961491
GSE96804,ADAM15,1.9010698077676393,0.1050179253770635
GSE96804,ADAM17,1.1868904344634539,0.0863284549483784
GSE96804,ADAM19,1.1828275136305784,0.08624686192787542
GSE96804,ADAM8,0.2278721883477784,0.07483029249754415
GSE96804,ADAM9,0.8916409127120717,0.0811277313365239
GSE96804,ADAMTS1,1.4969314351035128,0.09338010594821074
GSE96804,ADAMTS13,0.3361585092592452,0.07534789257487459
GSE96804,ADAMTS14,0.6828233919040232,0.07834149631372135
GSE96804,ADAMTS16,1.1859688828546677,0.08630992348802842
GSE96804,ADAMTS18,0.4704521417844302,0.07626588134065561
GSE96804,ADAMTS2,1.0800473068659209,0.08427585564030621
GSE96804,ADAMTS3,0.8867387942044596,0.0810538514375846
GSE96804,ADAMTS4,-0.07936451880109648,0.07444362294349435
GSE96804,ADAMTS5,1.3416720181149095,0.0896451913955961
GSE96804,ADAMTS8,0.5963298652712673,0.0774038821076462
GSE96804,ADAMTS9,-0.3583063465331038,0.07547823913943819
GSE96804,ADRM1,-1.2336774054235118,0.08728820950118892
GSE96804,AJUBA,-0.8015639733537844,0.07983519986327552
GSE96804,ANGPT1,0.1147928237228473,0.07450191671920398
GSE96804,ANGPT2,1.736627191128078,0.09994849814790849
GSE96804,ANGPT4,0.2370396476535558,0.07486641165294514
GSE96804,ANO5,-0.796033586801885,0.07976032416783456
GSE96804,ANO6,0.07537598520101398,0.07443839253926125
GSE96804,APOB,-0.7421193921896363,0.07905754214196373
GSE96804,APP,-0.18452833495469262,0.07467880921092335
GSE96804,ARHGEF18,-1.4605947920573914,0.09246937226333032
GSE96804,ARNT,-0.941007313313103,0.08189443681522499
GSE96804,ASPN,1.6644273685273718,0.09786751903043014
GSE96804,ATP1B1,-0.3271635463965134,0.07529732853032668
GSE96804,ATP1B2,-0.7779442019381025,0.07951903357471962
GSE96804,ATP1B3,0.836744989241824,0.08032365218228055
GSE96804,ATP1B4,0.050258976790648405,0.07441165038335464
GSE96804,BAMBI,0.035710061271839795,0.07440105075393087
GSE96804,BCAN,0.3974952572828756,0.07572924796652698
GSE96804,BGN,-0.07821628660078522,0.07444208955913069
GSE96804,BMP1,-0.10936367714112229,0.07449160334208163
GSE96804,BMP10,-0.3143374657621511,0.07522760019380996
GSE96804,BMP2,0.4895765052183964,0.07642147402499715
GSE96804,BMP4,-0.22830557274637384,0.07483196792402419
GSE96804,BMP7,-1.3674474254181295,0.09023695967602098
GSE96804,BSG,-1.8704450229261953,0.10403909630743373
GSE96804,C1QA,1.0253081964931623,0.08329920066342258
GSE96804,C1QB,0.6484237936580717,0.07795340844635365
GSE96804,C1QC,0.9801920824443937,0.08253241778791934
GSE96804,C1R,-0.18232515236048788,0.07467195967517865
GSE96804,C1S,0.8797224887202961,0.0809488172682037
GSE96804,C2,0.3696875121240395,0.07554845455176497
GSE96804,C3,0.9975780400052967,0.08282381971515775
GSE96804,C3AR1,0.5463361252327034,0.07691976222222109
GSE96804,C4B,0.29691872143608705,0.07513736870870377
GSE96804,C4BPA,-0.045598231376874465,0.07440786423044495
GSE96804,C4BPB,0.9533230304026141,0.08209214898969346
GSE96804,C5,-0.3981407014433066,0.07573359998842011
GSE96804,C5AR1,-1.117687165852261,0.08497689306100563
GSE96804,C5AR2,-0.4705301482001559,0.07626650339705987
GSE96804,C6,0.16661729486036192,0.07462550935113889
GSE96804,C7,1.044864467825739,0.08364229268315737
GSE96804,C8A,0.05424817550719483,0.07441518343248868
GSE96804,C8B,-0.22936959572709154,0.07483609484687978
GSE96804,C8G,0.8479365636470934,0.08048343386828344
GSE96804,C9,-0.08868792701601953,0.07445690109225596
GSE96804,CA9,-0.4635867879855037,0.07621153805493662
GSE96804,CAPN1,-0.6631689238439709,0.07811730340712013
GSE96804,CAPN10,0.7428664719055276,0.07906694386075569
GSE96804,CAPN11,0.1408110935489118,0.07455827580130717
GSE96804,CAPN12,-0.4227916282863519,0.0759050978087867
GSE96804,CAPN13,-0.26685959266305526,0.07499375273461098
