gene_symbol,theme,candidate_source_row,discovery_effect,discovery_direction
CXCL10,MACROPHAGE_RECRUITMENT,95,0.55992142857143,UP
CCL2,MACROPHAGE_RECRUITMENT,96,0.7872736507936509,UP
CXCL2,MACROPHAGE_RECRUITMENT,97,-1.1681768253968263,DOWN
FGG,COAGULATION_CASCADE,98,1.6069989523809525,UP
TGFB2,TGF_BETA_SIGNALING,99,0.2833420634920625,UP
SMAD4,TGF_BETA_SIGNALING,100,0.050995238095238,UP
TFPI,COAGULATION_CASCADE,101,-0.4691174603174612,DOWN
PROC,COAGULATION_CASCADE,102,-0.3360730158730138,DOWN
SMAD7,TGF_BETA_SIGNALING,103,-0.1676111111111087,DOWN
TGFB3,TGF_BETA_SIGNALING,104,0.2715834920634936,UP
THBD,COAGULATION_CASCADE,105,-0.3471914285714277,DOWN
ROBO4,ENDOTHELIAL_ACTIVATION,106,-0.2013047619047601,DOWN
CCL8,MACROPHAGE_RECRUITMENT,107,-0.5699487301587309,DOWN
PLAU,COAGULATION_CASCADE,108,0.3605836507936484,UP
PLVAP,ENDOTHELIAL_ACTIVATION,109,-0.2500206349206362,DOWN
ICAM1,ENDOTHELIAL_ACTIVATION;LEUKOCYTE_ADHESION,110,0.3727888888888877,UP
SKI,TGF_BETA_SIGNALING,111,0.1597777777777764,UP
ID1,TGF_BETA_SIGNALING,112,0.215634920634919,UP
SERPINE1,COAGULATION_CASCADE;TGF_BETA_SIGNALING,113,-0.5866057142857137,DOWN
THBS1,ECM_REMODELING,114,0.2225111111111104,UP
HIF1A,HYPOXIA,115,0.1942825396825398,UP
SLC2A1,HYPOXIA,116,-0.2053406349206383,DOWN
ENG,ENDOTHELIAL_ACTIVATION,117,0.1506587301587245,UP
C8G,COMPLEMENT_ACTIVATION,118,0.1844695238095255,UP
CD34,LEUKOCYTE_ADHESION,119,-0.0872571428571404,DOWN
FGA,COAGULATION_CASCADE,120,0.5353295238095237,UP
FGB,COAGULATION_CASCADE,121,0.9007577777777804,UP
CXCL8,MACROPHAGE_RECRUITMENT,122,-0.3442109523809531,DOWN
ESAM,ENDOTHELIAL_ACTIVATION;LEUKOCYTE_ADHESION,123,0.0685492063492034,UP
C5AR1,COMPLEMENT_ACTIVATION,124,-0.1034257142857164,DOWN
CXCL9,MACROPHAGE_RECRUITMENT,125,0.2196579365079367,UP
TGFBR1,TGF_BETA_SIGNALING,126,0.0582746031746044,UP
CCL20,MACROPHAGE_RECRUITMENT,127,-0.4022404126984122,DOWN
SELE,ENDOTHELIAL_ACTIVATION;LEUKOCYTE_ADHESION,128,-0.3037438095238105,DOWN
PDGFB,FIBROSIS,129,-0.0800793650793671,DOWN
LGALS3,MACROPHAGE_RECRUITMENT,130,0.0455079365079349,UP
ANGPT2,ENDOTHELIAL_ACTIVATION,131,0.0546585714285701,UP
SKIL,TGF_BETA_SIGNALING,132,-0.0499222222222233,DOWN
EPAS1,HYPOXIA,133,0.0396349206349206,UP
F12,COAGULATION_CASCADE,134,-0.0444265079365067,DOWN
SMAD3,TGF_BETA_SIGNALING,135,0.01093492063492,UP
PDGFA,FIBROSIS,136,-0.0050841269841264,DOWN
C2,COMPLEMENT_ACTIVATION,137,,ZERO
C4A,COMPLEMENT_ACTIVATION,138,,ZERO
C4B,COMPLEMENT_ACTIVATION,139,,ZERO
C8A,COMPLEMENT_ACTIVATION,140,,ZERO
C8B,COMPLEMENT_ACTIVATION,141,,ZERO
C9,COMPLEMENT_ACTIVATION,142,,ZERO
CA9,HYPOXIA,143,,ZERO
CCL7,MACROPHAGE_RECRUITMENT,144,,ZERO
CXCL11,MACROPHAGE_RECRUITMENT,145,,ZERO
F2,COAGULATION_CASCADE,146,,ZERO
