dataset,sample_1,sample_2,pearson_correlation
GSE142025 C1,GSM4217784,GSM4217800,0.7414468605207324
GSE142025 C1,GSM4217784,GSM4217801,0.7703442320732485
GSE142025 C1,GSM4217784,GSM4217808,0.7245999922940073
GSE142025 C1,GSM4217784,GSM4217809,0.6734725187986169
GSE142025 C1,GSM4217784,GSM4217810,0.6883127649502964
GSE142025 C1,GSM4217784,GSM4217811,0.6745578686814716
GSE142025 C1,GSM4217784,GSM4217812,0.6045442761484735
GSE142025 C1,GSM4217784,GSM4217813,0.671622665064304
GSE142025 C1,GSM4217784,GSM4217814,0.7314221485851679
GSE142025 C1,GSM4217784,GSM4217815,0.6829553841487525
GSE142025 C1,GSM4217784,GSM4217816,0.7358713459630786
GSE142025 C1,GSM4217785,GSM4217786,0.8429117367649557
GSE142025 C1,GSM4217785,GSM4217787,0.6489331505621106
GSE142025 C1,GSM4217785,GSM4217788,0.795515005218251
GSE142025 C1,GSM4217785,GSM4217789,0.7719684410105788
GSE142025 C1,GSM4217785,GSM4217790,0.796642490800275
GSE142025 C1,GSM4217785,GSM4217791,0.8433539712217797
GSE142025 C1,GSM4217785,GSM4217792,0.6565752079347887
GSE142025 C1,GSM4217785,GSM4217793,0.7516862739990814
GSE142025 C1,GSM4217785,GSM4217794,0.7536921265048703
GSE142025 C1,GSM4217785,GSM4217795,0.761383183282741
GSE142025 C1,GSM4217785,GSM4217796,0.8795847627455892
GSE142025 C1,GSM4217785,GSM4217797,0.5354468655293997
GSE142025 C1,GSM4217785,GSM4217798,0.8467187846975592
GSE142025 C1,GSM4217785,GSM4217799,0.6644254222194919
GSE142025 C1,GSM4217785,GSM4217800,0.6928989212876404
GSE142025 C1,GSM4217785,GSM4217801,0.7452960961834281
GSE142025 C1,GSM4217785,GSM4217808,0.6359394479456228
GSE142025 C1,GSM4217785,GSM4217809,0.5552268195294028
GSE142025 C1,GSM4217785,GSM4217810,0.5377814458810657
GSE142025 C1,GSM4217785,GSM4217811,0.5794508037743905
GSE142025 C1,GSM4217785,GSM4217812,0.5134446219015536
GSE142025 C1,GSM4217785,GSM4217813,0.5466858619349811
GSE142025 C1,GSM4217785,GSM4217814,0.6568904451118444
GSE142025 C1,GSM4217785,GSM4217815,0.5756897598666347
GSE142025 C1,GSM4217785,GSM4217816,0.6575703353207697
GSE142025 C1,GSM4217786,GSM4217787,0.5754868421725504
GSE142025 C1,GSM4217786,GSM4217788,0.7397173984474347
GSE142025 C1,GSM4217786,GSM4217789,0.7745151873714101
GSE142025 C1,GSM4217786,GSM4217790,0.8024628100560787
GSE142025 C1,GSM4217786,GSM4217791,0.809485216882525
GSE142025 C1,GSM4217786,GSM4217792,0.6903065972245924
GSE142025 C1,GSM4217786,GSM4217793,0.7107885830636407
GSE142025 C1,GSM4217786,GSM4217794,0.7192573562769473
GSE142025 C1,GSM4217786,GSM4217795,0.697400618526667
GSE142025 C1,GSM4217786,GSM4217796,0.8284009267594722
GSE142025 C1,GSM4217786,GSM4217797,0.6014008307695201
GSE142025 C1,GSM4217786,GSM4217798,0.8232757527229546
GSE142025 C1,GSM4217786,GSM4217799,0.6810501655630511
GSE142025 C1,GSM4217786,GSM4217800,0.7271584111056004
GSE142025 C1,GSM4217786,GSM4217801,0.8070244797655886
GSE142025 C1,GSM4217786,GSM4217808,0.6783229731709394
GSE142025 C1,GSM4217786,GSM4217809,0.5807947214216004
GSE142025 C1,GSM4217786,GSM4217810,0.5925532979612558
GSE142025 C1,GSM4217786,GSM4217811,0.611946047654351
GSE142025 C1,GSM4217786,GSM4217812,0.5706080853181853
GSE142025 C1,GSM4217786,GSM4217813,0.6011092291057419
GSE142025 C1,GSM4217786,GSM4217814,0.6847780709524053
GSE142025 C1,GSM4217786,GSM4217815,0.6182397801216309
GSE142025 C1,GSM4217786,GSM4217816,0.6702354750094344
GSE142025 C1,GSM4217787,GSM4217788,0.7555397372261768
GSE142025 C1,GSM4217787,GSM4217789,0.6904834242763853
GSE142025 C1,GSM4217787,GSM4217790,0.5327230975885489
GSE142025 C1,GSM4217787,GSM4217791,0.5746436643382546
GSE142025 C1,GSM4217787,GSM4217792,0.5092396527297858
