gene_symbol,focused_pathways,analysis_family,primary_estimand,included_studies,complete_three_study_mapping,discovery_direction,pooled_direction,direction_matches_discovery,k,pooled_effect,tau2_reml,hk_scale,pooled_se_hk,pooled_se_modified_hk,ci_95_low_hk,ci_95_high_hk,ci_95_low_modified_hk,ci_95_high_modified_hk,p_value_hk,p_value_modified_hk,prediction_interval_95_low,prediction_interval_95_high,prediction_interval_95_low_modified_hk,prediction_interval_95_high_modified_hk,cochran_q,i2_percent,p_value_for_145_family,fdr_bh_145_family,fdr_lt_0_05,model,inference_df,prediction_interval_df,excluded_sample_ids,excluded_n,sensitivity_scope
C1R,COMPLEMENT_ACTIVATION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,0.653523923121366,4.0299508716303185,1.018187934876614,1.1997261489631998,1.1997261489631998,-4.508481066602986,5.815528912845718,-4.508481066602986,5.815528912845718,0.640561519307677,0.640561519307677,-29.061868627863227,30.36891647410596,-29.061868627863227,30.36891647410596,31.130010839214094,93.57533150139278,0.640561519307677,0.902079270256232,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
ACKR1,ENDOTHELIAL_ACTIVATION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE30528,False,NOT_ESTIMABLE,UP,False,2.0,2.504555824506373,1.0339351530299608,1.000000022489102,0.8263189874617523,0.8263189874617523,-7.994822407783918,13.003934056796663,-7.994822407783918,13.003934056796663,0.20287872188693687,0.20287872188693687,,,,,4.088475606557549,75.54100608069938,1.0,1.0,False,REML random effects with modified Hartung-Knapp primary t inference,,,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
DCN,FIBROSIS,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,DOWN,DOWN,True,3.0,-0.2053153203182052,6.090346730780288,1.009566917139003,1.4593798743071074,1.4593798743071074,-6.484520120169293,6.073889479532882,-6.484520120169293,6.073889479532882,0.9010081135887449,0.9010081135887449,-36.63499558357497,36.22436494293856,-36.63499558357497,36.22436494293856,44.58950656632887,95.51463975717041,0.9010081135887449,1.0,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
SELL,LEUKOCYTE_ADHESION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,DOWN,UP,False,3.0,0.2551475302186302,4.055661463847979,0.9934203831852351,1.1856415887238527,1.1895614765515914,-4.846256487945325,5.356551548382585,-4.863122404007448,5.3734174644447075,0.8495638472233324,0.8500484055282227,-29.438813739001425,29.949108799438683,-29.464113881789757,29.974408942227015,52.51502936959071,96.19156644486594,0.8500484055282227,1.0,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
CFP,COMPLEMENT_ACTIVATION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,0.4365643895901847,1.8290580535113456,1.003902369335965,0.8182230347957307,0.8182230347957307,-3.083965184573927,3.9570939637542963,-3.083965184573927,3.9570939637542963,0.6470085800458492,0.6470085800458492,-19.647870172605025,20.520998951785394,-19.647870172605025,20.520998951785394,23.827282267584028,91.60626051456606,0.6470085800458492,0.902079270256232,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
F7,COAGULATION_CASCADE,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,DOWN,DOWN,True,3.0,-0.34451299204247304,1.857435432941672,1.023776549018724,0.8327130708973025,0.8327130708973025,-3.9273881595924087,3.2383621755074627,-3.9273881595924087,3.2383621755074627,0.7192216665874407,0.7192216665874407,-20.638062286975785,19.949036302890836,-20.638062286975785,19.949036302890836,19.202796867921137,89.58485051028654,0.7192216665874407,0.9656216819923972,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
CCL5,MACROPHAGE_RECRUITMENT,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,1.0315359630229797,1.9228830340256815,0.9757921343028509,0.8303241602205514,0.8405605790169914,-2.5410605514826328,4.604132477528592,-2.5851043067594484,4.648176232805407,0.3400246444296303,0.3445973895481641,-19.50509221237818,21.568164138424137,-19.57221314245381,21.635285068499766,27.9282350636253,92.83878843241023,0.3445973895481641,0.6245827685560474,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
TIMP2,ECM_REMODELING,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE30528,False,NOT_ESTIMABLE,DOWN,False,2.0,-0.04046814957512134,6.1605497582359465,1.0000000313344923,1.790907443416309,1.790907443416309,-22.796104789622923,22.715168490472678,-22.796104789622923,22.715168490472678,0.9856171011072865,0.9856171011072865,,,,,25.22875644680086,96.03626915932749,1.0,1.0,False,REML random effects with modified Hartung-Knapp primary t inference,,,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
SERPING1,COMPLEMENT_ACTIVATION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,DOWN,DOWN,True,3.0,-0.08353529814877729,1.5547136529223768,1.000035178616138,0.756301858122494,0.756301858122494,-3.33763955247379,3.170568956176236,-3.33763955247379,3.170568956176236,0.9221355324927358,0.9221355324927358,-18.61328669735339,18.446216101055835,-18.61328669735339,18.446216101055835,22.06318704851459,90.93512648194381,0.9221355324927358,1.0,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
JAM3,LEUKOCYTE_ADHESION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,DOWN,False,3.0,-0.25931592433264977,3.9411852616989855,1.0181357273912113,1.1877140093583538,1.1877140093583538,-5.36963684879672,4.851005000131421,-5.36963684879672,4.851005000131421,0.8474235707324038,0.8474235707324038,-29.653933088762543,29.13530124009724,-29.653933088762543,29.13530124009724,29.97243798128811,93.32720280796441,0.8474235707324038,1.0,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
