pathway,genes_in_gmt,genes_mapped_with_discovery_direction,observed_mean_direction_aligned_hedges_g,permutation_exceedances,permutations,one_sided_permutation_p,permutation_unit,correlation_handling,fdr_bh_9_pathways
COMPLEMENT_ACTIVATION,28,21,1.0198894799665255,0,10000,9.999000099990002e-05,GSE30528 sample disease labels; fixed 9-versus-13 allocation,all pathway genes recomputed jointly for each label permutation,0.00017998200179982003
ENDOTHELIAL_ACTIVATION,18,16,0.8299525057766775,0,10000,9.999000099990002e-05,GSE30528 sample disease labels; fixed 9-versus-13 allocation,all pathway genes recomputed jointly for each label permutation,0.00017998200179982003
MACROPHAGE_RECRUITMENT,20,16,0.8147435520943532,0,10000,9.999000099990002e-05,GSE30528 sample disease labels; fixed 9-versus-13 allocation,all pathway genes recomputed jointly for each label permutation,0.00017998200179982003
FIBROSIS,14,12,1.073049899558989,0,10000,9.999000099990002e-05,GSE30528 sample disease labels; fixed 9-versus-13 allocation,all pathway genes recomputed jointly for each label permutation,0.00017998200179982003
ECM_REMODELING,17,15,0.6397768304604962,0,10000,9.999000099990002e-05,GSE30528 sample disease labels; fixed 9-versus-13 allocation,all pathway genes recomputed jointly for each label permutation,0.00017998200179982003
COAGULATION_CASCADE,22,21,0.49849957428893366,2,10000,0.00029997000299970003,GSE30528 sample disease labels; fixed 9-versus-13 allocation,all pathway genes recomputed jointly for each label permutation,0.00044995500449955
HYPOXIA,12,10,0.46892108252815723,21,10000,0.0021997800219978004,GSE30528 sample disease labels; fixed 9-versus-13 allocation,all pathway genes recomputed jointly for each label permutation,0.002828288599711458
TGF_BETA_SIGNALING,14,14,0.3592868077658317,313,10000,0.0313968603139686,GSE30528 sample disease labels; fixed 9-versus-13 allocation,all pathway genes recomputed jointly for each label permutation,0.035321467853214675
LEUKOCYTE_ADHESION,12,11,0.2160990689916422,997,10000,0.09979002099790021,GSE30528 sample disease labels; fixed 9-versus-13 allocation,all pathway genes recomputed jointly for each label permutation,0.09979002099790021
