dataset,n_samples,batch_nonmissing,batch_unique_nonmissing,age_nonmissing,age_unique_nonmissing,sex_nonmissing,sex_unique_nonmissing,eGFR_nonmissing,eGFR_unique_nonmissing,proteinuria_nonmissing,proteinuria_unique_nonmissing,albuminuria_nonmissing,albuminuria_unique_nonmissing,medication_nonmissing,medication_unique_nonmissing
GSE142025,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSE96804,61,0,0,0,0,61,2,0,0,0,0,0,0,0,0
GSE30528,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSE30529,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
