descriptive_class,n_genes,genes
BLACK_AND_GSE30528_FDR,19,C1QA;C1QB;C2;C3;C3AR1;C7;CCR2;CFB;COL1A1;COL1A2;CSF1R;EDN1;ITGAL;LUM;MMP2;MMP7;SPP1;VSIG4;VWF
BLACK_ONLY,39,ACTA2;ADAMTS5;ANGPT2;C1QC;C1R;C1S;C4B;CCL2;CCL20;CCL8;CFH;CFI;COL4A1;COL4A2;CX3CR1;CXCL1;ENO1;F13A1;FGA;FGB;FN1;HIF1A;ITGAM;LAMB1;LAMC1;LGALS3;MMP14;PECAM1;PLAU;PLVAP;PROS1;SERPINE1;SERPING1;TGFB1;TGFB2;TGFB3;THBD;TIMP1;VCAM1
GSE30528_FDR_OUTSIDE_BLACK,20,ACKR1;CCL5;CCR5;CSF1;CTGF;DCN;EMCN;F12;F3;F5;FLT1;ITGB2;JAM3;KDR;PDGFRB;PLAT;TEK;TGFBR2;TIMP2;VEGFA
NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,67,ADAMTS2;ADAMTS4;ANGPTL4;ARNT;BNIP3;C4A;C5;C5AR1;C6;C8A;C8B;C8G;C9;CA9;CCL18;CCL7;CD34;CFD;CFP;COL3A1;CR1;CXCL10;CXCL11;CXCL2;CXCL3;CXCL8;CXCL9;ENG;EPAS1;ESAM;F10;F11;F2;F7;F8;FGF2;FGG;ICAM1;ID1;LDHA;LOX;LOXL2;MMP3;MMP9;PDGFA;PDGFB;PDK1;PGK1;PLG;PROC;RAMP2;ROBO4;SELE;SELL;SELP;SERPINC1;SKI;SKIL;SLC2A1;SMAD2;SMAD3;SMAD4;SMAD7;SPARC;TFPI;TGFBR1;THBS1
