source_feature_id,raw_annotation,candidate_gene_symbols,selected_gene_symbol,mapping_status,mean_expression,variance_expression,missing_fraction,finite_values,eligible_before_duplicate_collapse,selected_for_clean_matrix
ABCC9,ABCC9,ABCC9,ABCC9,unique_gene_symbol,11.1162,0.48073,0,True,True,True
ABCD1,ABCD1,ABCD1,ABCD1,unique_gene_symbol,10.1874,0.0809297,0,True,True,True
ABCD2,ABCD2,ABCD2,ABCD2,unique_gene_symbol,7.21951,0.2341,0,True,True,True
ABCD3,ABCD3,ABCD3,ABCD3,unique_gene_symbol,11.861,0.180405,0,True,True,True
ABCD4,ABCD4,ABCD4,ABCD4,unique_gene_symbol,12.036,0.0125372,0,True,True,True
ABCE1,ABCE1,ABCE1,ABCE1,unique_gene_symbol,9.9998,0.0820834,0,True,True,True
ABCF2,ABCF2,ABCF2,ABCF2,unique_gene_symbol,11.2567,0.0223839,0,True,True,True
ABCF3,ABCF3,ABCF3,ABCF3,unique_gene_symbol,11.5878,0.0159416,0,True,True,True
ABCG1,ABCG1,ABCG1,ABCG1,unique_gene_symbol,10.6486,0.243564,0,True,True,True
ABCG2,ABCG2,ABCG2,ABCG2,unique_gene_symbol,8.84603,0.17245,0,True,True,True
ABCG5,ABCG5,ABCG5,ABCG5,unique_gene_symbol,6.18752,0.312262,0,True,True,True
ABCG8,ABCG8,ABCG8,ABCG8,unique_gene_symbol,4.63791,1.58946,0,True,True,True
ABHD1,ABHD1,ABHD1,ABHD1,unique_gene_symbol,7.49236,0.0928485,0,True,True,True
ABHD10,ABHD10,ABHD10,ABHD10,unique_gene_symbol,10.9448,0.201892,0,True,True,True
ABHD11,ABHD11,ABHD11,ABHD11,unique_gene_symbol,10.558,0.073333,0,True,True,True
ABHD11-AS1,ABHD11-AS1,ABHD11-AS1,ABHD11-AS1,unique_gene_symbol,6.29224,0.418903,0,True,True,True
ABHD12,ABHD12,ABHD12,ABHD12,unique_gene_symbol,11.3417,0.0370864,0,True,True,True
ABHD13,ABHD13,ABHD13,ABHD13,unique_gene_symbol,8.98939,0.0626759,0,True,True,True
ABHD14A,ABHD14A,ABHD14A,ABHD14A,unique_gene_symbol,9.61036,0.278101,0,True,True,True
ABHD14B,ABHD14B,ABHD14B,ABHD14B,unique_gene_symbol,12.3641,0.125996,0,True,True,True
ABHD15,ABHD15,ABHD15,ABHD15,unique_gene_symbol,11.0348,0.100584,0,True,True,True
ABHD16B,ABHD16B,ABHD16B,ABHD16B,unique_gene_symbol,8.63602,0.103839,0,True,True,True
ABHD17A,ABHD17A,ABHD17A,ABHD17A,unique_gene_symbol,10.9438,0.0656759,0,True,True,True
ABHD17B,ABHD17B,ABHD17B,ABHD17B,unique_gene_symbol,9.51715,0.0921682,0,True,True,True
ABHD17C,ABHD17C,ABHD17C,ABHD17C,unique_gene_symbol,9.33843,0.0836586,0,True,True,True
ABHD18,ABHD18,ABHD18,ABHD18,unique_gene_symbol,10.1482,0.0403229,0,True,True,True
ABHD2,ABHD2,ABHD2,ABHD2,unique_gene_symbol,13.2663,0.0273168,0,True,True,True
ABHD3,ABHD3,ABHD3,ABHD3,unique_gene_symbol,9.2199,0.0392232,0,True,True,True
ABHD4,ABHD4,ABHD4,ABHD4,unique_gene_symbol,11.0999,0.0512898,0,True,True,True
ABHD5,ABHD5,ABHD5,ABHD5,unique_gene_symbol,9.89809,0.0540651,0,True,True,True
ABHD6,ABHD6,ABHD6,ABHD6,unique_gene_symbol,11.2584,0.295792,0,True,True,True
