gene_symbol,compartment_model,eligible_cohorts,contributing_cohorts,k,pooled_effect,tau2_reml,hk_scale,pooled_se_hk,pooled_se_modified_hk,ci_95_low_hk,ci_95_high_hk,ci_95_low_modified_hk,ci_95_high_modified_hk,p_value_hk,p_value_modified_hk,prediction_interval_95_low,prediction_interval_95_high,prediction_interval_95_low_modified_hk,prediction_interval_95_high_modified_hk,cochran_q,i2_percent,p_value_for_family,fdr_bh_canonical_union,fdr_lt_0_05
SERPING1,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,1.1192265759095794,0.2376668246909136,1.1377524670972214,0.4364010939634018,0.4364010939634018,-0.269596473196017,2.508049625015176,-0.269596473196017,2.508049625015176,0.08287616673451272,0.08287616673451272,-1.6960130774197277,3.9344662292388866,-1.6960130774197277,3.9344662292388866,4.917194414580408,38.98959961590221,0.08287616673451272,0.43880678261865175,False
SERPINH1,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,0.8315844059157043,0.9267583913688909,1.0194415192283512,0.5937232963408519,0.5937232963408519,-1.0579081048851036,2.721076916716512,-1.0579081048851036,2.721076916716512,0.2558389877275312,0.2558389877275312,-4.03491506563736,5.698083877468768,-4.03491506563736,5.698083877468768,9.160873767864112,67.25203210938405,0.2558389877275312,0.5848621191027763,False
SGCA,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,-0.8244306841481961,0.07121243583722565,1.121068662911169,0.35288236716638083,0.35288236716638083,-1.9474598697366134,0.29859850144022126,-1.9474598697366134,0.29859850144022126,0.1015653753827433,0.1015653753827433,-2.728024622786462,1.07916325449007,-2.728024622786462,1.07916325449007,3.894785454702536,22.973934382500538,0.1015653753827433,0.4580891220256462,False
SGCB,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,-0.9630456266166272,0.5890198437264628,1.0093391413649142,0.5159942026663863,0.5159942026663863,-2.6051694704400807,0.6790782172068266,-2.6051694704400807,0.6790782172068266,0.15882074666010704,0.15882074666010704,-4.942173348251707,3.0160820950184526,-4.942173348251707,3.0160820950184526,6.789373299836962,55.81330017496546,0.15882074666010704,0.5055148155888772,False
SGCD,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,0.46134883203654237,0.2034415574717916,0.8575942356368141,0.35273864194962185,0.3809009991946556,-0.6612229557668243,1.5839206198399092,-0.7508481455293619,1.6735458096024467,0.2821000845052192,0.3125247056771658,-2.0023326390669913,2.925030303140076,-2.0787732470608224,3.0014709111339073,4.313718151107108,30.45442713427961,0.3125247056771658,0.6058379510653872,False
SGCE,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,0.40062235002361346,0.8535953895136946,0.9777029241684952,0.5648308338247988,0.571235171543068,-1.3969214501924334,2.1981661502396603,-1.4173029111017283,2.2185476111489555,0.5293059200978388,0.5336068706657585,-4.258634567661321,5.059879267708547,-4.273066737374615,5.074311437421841,9.917749627517965,69.75120251396399,0.5336068706657585,0.7213157033610309,False
SGCG,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE166239;GSE111154;GSE199838,3.0,-0.3119910984001376,0.0,0.3060430444261069,0.22021806471249356,0.39807204962338544,-1.2595129556754916,0.6355307588752165,-2.02475688934916,1.400774692548885,0.2922631824641754,0.5152642004099939,-3.1101269152412487,2.4861447184409733,-5.369976060663566,4.745993863863291,0.6120860888522138,0.0,0.5152642004099939,0.7099496419960695,False
SGCZ,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE111154;GSE199838,2.0,-0.23146139132825305,0.0,1.2420930856967363e-05,0.001892684782701211,0.5370333028444174,-0.25551023167829695,-0.20741255097820915,-7.055116487413528,6.5921937047570225,0.005205592578446737,0.740932826582137,,,,,1.2420930856967363e-05,0.0,0.740932826582137,0.8684886275655888,False
SH3PXD2A,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,0.616553584680409,0.6012226951774754,1.012044643795692,0.5087765181412272,0.5087765181412272,-1.0026003656932487,2.2357075350540665,-1.0026003656932487,2.2357075350540665,0.3123153253264743,0.3123153253264743,-3.37373927040839,4.606846439769208,-3.37373927040839,4.606846439769208,7.4647440975984924,59.811080449962915,0.3123153253264743,0.6058379510653872,False
SHC1,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,1.094955860927411,1.4896941305972575,0.9965947413896675,0.7009209880389491,0.7021174532274307,-1.1356875477529484,3.3255992696077703,-1.1394952339714324,3.3294069558262542,0.21618025539982003,0.21677621602728644,-4.960917976407717,7.150829698262538,-4.96348330757348,7.153395029428301,12.876202789126577,76.70120571156757,0.21677621602728644,0.5700582187214516,False
SIRPA,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,-0.08955967025691686,2.200229683357158,1.1374400063559564,0.8949599543831379,0.8949599543831379,-2.93772167046041,2.758602329946576,-2.93772167046041,2.758602329946576,0.9266003945520509,0.9266003945520509,-7.543442032244067,7.364322691730233,-7.543442032244067,7.364322691730233,12.309250384351206,75.62808533154943,0.9266003945520509,0.9993500123061376,False
SIRPG,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,1.1335816523580373,0.599626129687165,0.8997344586862576,0.4827684394876688,0.5089577055576548,-0.4028029841970755,2.66996628891315,-0.4861489172395945,2.753312221955669,0.10048035469793956,0.11228206626130936,-2.7926720589130243,5.059835363629099,-2.853434012881375,5.12059731759745,7.615423227578894,60.60626034367148,0.11228206626130936,0.4696704517454301,False
