reactome_id,reactome_name,n_primary_source_studies,n_positive,n_negative,n_maxT_fwer_lt_0_05,significant_directions,primary_replication_call,replication_rule,study_effects
R-HSA-166658,Complement cascade,3,3,0,2,UP,True,At least two of the three independent glomerular source studies have maxT FWER<0.05 with the same net-effect direction.,"GSE96804:g=0.342841,maxT=0.00779922;GSE30528:g=0.551477,maxT=0.00259974;GSE104948_H7:g=0.473745,maxT=0.10119"
R-HSA-9769740,Coagulation pathway,3,2,1,0,,False,At least two of the three independent glomerular source studies have maxT FWER<0.05 with the same net-effect direction.,"GSE96804:g=-0.116867,maxT=0.639436;GSE30528:g=0.0869633,maxT=0.926607;GSE104948_H7:g=0.190182,maxT=0.688231"
R-HSA-202733,Cell surface interactions at the vascular wall,3,3,0,1,UP,False,At least two of the three independent glomerular source studies have maxT FWER<0.05 with the same net-effect direction.,"GSE96804:g=0.169638,maxT=0.325267;GSE30528:g=0.357008,maxT=0.0936906;GSE104948_H7:g=0.636991,maxT=0.0267973"
R-HSA-380108,Chemokine receptors bind chemokines,3,3,0,2,UP,True,At least two of the three independent glomerular source studies have maxT FWER<0.05 with the same net-effect direction.,"GSE96804:g=0.0831277,maxT=0.855214;GSE30528:g=0.618731,maxT=0.00049995;GSE104948_H7:g=0.626662,maxT=0.029697"
R-HSA-1474244,Extracellular matrix organization,3,3,0,2,UP,True,At least two of the three independent glomerular source studies have maxT FWER<0.05 with the same net-effect direction.,"GSE96804:g=0.362713,maxT=0.00469953;GSE30528:g=0.298573,maxT=0.183682;GSE104948_H7:g=0.718626,maxT=0.0141986"
R-HSA-1234174,Cellular response to hypoxia,3,1,2,1,DOWN,False,At least two of the three independent glomerular source studies have maxT FWER<0.05 with the same net-effect direction.,"GSE96804:g=-0.42659,maxT=0.00069993;GSE30528:g=-0.13428,maxT=0.725327;GSE104948_H7:g=0.32129,maxT=0.294971"
R-HSA-170834,Signaling by TGF-beta Receptor Complex,3,1,2,0,,False,At least two of the three independent glomerular source studies have maxT FWER<0.05 with the same net-effect direction.,"GSE96804:g=-0.0869666,maxT=0.834117;GSE30528:g=-0.0793803,maxT=0.948805;GSE104948_H7:g=0.30573,maxT=0.329667"
