cohort,gene_symbol,hedges_g_highest_mean,hedges_g_median_probe,direction_changed
GSE30528,A2M,0.16704891993309604,0.16704891993309604,False
GSE30528,ACAN,0.5484305571963908,0.3117703903549808,False
GSE30528,ACKR2,0.344626265237382,0.344626265237382,False
GSE30528,ACKR3,-0.30176047508874,-0.30176047508874,False
GSE30528,ACKR4,1.833548981979086,1.833548981979086,False
GSE30528,ACTA1,-0.022447544398542435,-0.022447544398542435,False
GSE30528,ACTA2,-0.03624218734226436,1.3698978146110152,True
GSE30528,ACTB,1.2360586549216903,0.011232069710047062,False
GSE30528,ACTC1,0.8863494989223779,0.8863494989223779,False
GSE30528,ACTG2,1.3427966839275816,1.3427966839275816,False
GSE30528,ACTN1,2.786007204281294,1.5472151392086257,False
GSE30528,ADAM10,0.739494243695451,0.621297839832728,False
GSE30528,ADAM12,0.9569261508140273,1.1120700959779732,False
GSE30528,ADAM15,0.9356605274604919,0.9356605274604919,False
GSE30528,ADAM17,-0.2801686082104607,-1.4918203541583517,False
GSE30528,ADAM19,0.8167235923958163,0.6505778957307159,False
GSE30528,ADAM8,2.003607009756364,1.7275825554042605,False
GSE30528,ADAM9,-0.45393123134109215,-0.45393123134109215,False
GSE30528,ADAMTS1,-0.14048366556888953,-0.14048366556888953,False
GSE30528,ADAMTS13,0.7250750226870387,0.7250750226870387,False
GSE30528,ADAMTS2,1.1007752196549458,0.8296094848098169,False
GSE30528,ADAMTS3,0.42995759541186374,0.42995759541186374,False
GSE30528,ADAMTS5,-0.07374077548842423,-0.07374077548842423,False
GSE30528,ADAMTS8,-0.23989367819746266,0.12037476123225897,True
GSE30528,ADAMTS9,-0.42565950371728467,-0.42565950371728467,False
GSE30528,ADRM1,-0.18384380296041572,-0.18384380296041572,False
GSE30528,AGRN,1.0257474557963169,-0.03000855412647762,True
GSE30528,ANGPT1,0.41986805815020894,0.9176136269631137,False
GSE30528,ANGPT2,0.7324920220054266,1.0353258409654191,False
GSE30528,ANGPT4,1.0482023719951086,1.0482023719951086,False
GSE30528,APOB,0.10318601225218486,0.10318601225218486,False
GSE30528,APP,0.9447000390249253,0.08481748042713326,False
GSE30528,ARHGEF18,-1.074754221475998,-1.074754221475998,False
GSE30528,ARNT,0.6695691498975901,0.2959962780873885,False
GSE30528,ASPN,0.33400994214049023,0.33400994214049023,False
GSE30528,ATP1B1,0.6224563581892514,0.23463052684970878,False
GSE30528,ATP1B2,-0.4227734870145994,-0.4227734870145994,False
GSE30528,ATP1B3,-0.34240647790801815,-0.34240647790801815,False
GSE30528,ATP1B4,-0.5095030782455477,-0.5095030782455477,False
GSE30528,BAMBI,-1.407124240881264,-1.407124240881264,False
GSE30528,BCAN,0.46342907707847275,0.36553953876492434,False
GSE30528,BGN,-1.4427263866427538,-1.0693020093284198,False
GSE30528,BMP1,-0.03958550790403071,-0.09328910722837624,False
GSE30528,BMP10,0.5276658374295683,0.5276658374295683,False
GSE30528,BMP2,-1.9502564999191525,-2.0926405769373386,False
GSE30528,BMP4,0.09238044901354447,0.09238044901354447,False
GSE30528,BMP7,0.027238414751310232,-2.268019399974846,True
GSE30528,BSG,-0.26279064860648405,-0.26279064860648405,False
GSE30528,C1QA,3.2526319624482727,3.2526319624482727,False
GSE30528,C1QB,2.753213858861744,2.753213858861744,False
GSE30528,C1R,-0.5232417110511719,-0.5232417110511719,False
GSE30528,C1S,0.485894069005754,0.485894069005754,False
GSE30528,C2,1.699688379223627,1.699688379223627,False
GSE30528,C3,1.7690556878083523,1.7690556878083523,False
GSE30528,C3AR1,1.739113003739101,1.739113003739101,False
GSE30528,C4A,0.9279328477511997,1.1823787851082013,False
GSE30528,C4BPA,0.607325471073371,0.607325471073371,False
GSE30528,C4BPB,0.7468944576637115,0.7468944576637115,False
GSE30528,C5,-0.20560998636458633,-0.20560998636458633,False
GSE30528,C5AR1,-0.3524687597215759,-0.3524687597215759,False
GSE30528,C5AR2,0.04930285168937814,0.04930285168937814,False
GSE30528,C6,0.487970247624606,0.487970247624606,False
GSE30528,C7,2.0544041252880985,2.0544041252880985,False
GSE30528,C8A,0.95145344213092,0.95145344213092,False
GSE30528,C8B,-0.007681025251898256,-0.007681025251898256,False
GSE30528,C8G,1.116061279069155,1.116061279069155,False
GSE30528,C9,0.0016557081415917924,0.0016557081415917924,False
GSE30528,CA9,-0.17190863574283569,-0.17190863574283569,False
GSE30528,CAPN1,2.223675100328486,2.223675100328486,False
GSE30528,CAPN10,-0.3024597989782837,0.6336901436816098,True
GSE30528,CAPN11,0.29757745972140387,0.29757745972140387,False
GSE30528,CAPN15,1.2132934771025126,1.2132934771025126,False
GSE30528,CAPN2,-0.5275511220861994,-3.0515793235803024,False
GSE30528,CAPN3,1.1693904801599975,1.0654046226253573,False
GSE30528,CAPN5,0.463369851248972,0.463369851248972,False
GSE30528,CAPN6,-0.05703645302573942,0.0784701385194937,True
GSE30528,CAPN7,0.4789036102241572,0.07666043976715009,False
GSE30528,CAPN9,-0.40335098383731305,-0.40456864510275276,False
GSE30528,CAPNS1,-0.48095431268446276,-0.48095431268446276,False
GSE30528,CASK,1.193653349549337,1.1010067345528762,False
GSE30528,CASP3,0.8538341288550603,0.8538341288550603,False
GSE30528,CAST,-1.399575773890554,-1.8643391703952814,False
GSE30528,CAV1,-0.23911493992490207,-0.18768659713593935,False
GSE30528,CBL,0.020547814067688276,0.020547814067688276,False
GSE30528,CCL1,0.9563554244841878,0.9563554244841878,False
GSE30528,CCL11,0.6593285973981639,0.6593285973981639,False
GSE30528,CCL13,0.7919347389307786,0.6173833147698408,False
GSE30528,CCL16,0.18723220497649135,0.18723220497649135,False
GSE30528,CCL17,0.4047679282085362,0.4047679282085362,False
GSE30528,CCL19,1.5069139571202435,1.5069139571202435,False
GSE30528,CCL2,0.8337421372468541,0.8337421372468541,False
GSE30528,CCL20,0.06053097681544786,0.06053097681544786,False
GSE30528,CCL21,1.2370552165018476,1.2370552165018476,False
GSE30528,CCL22,0.8343376283401015,0.8343376283401015,False
GSE30528,CCL25,0.23568962739054736,0.23568962739054736,False
GSE30528,CCL27,0.8161577049371851,0.8161577049371851,False
GSE30528,CCL3,0.8868402714901146,0.8868402714901146,False
GSE30528,CCL4,0.41500383063616847,0.41500383063616847,False
GSE30528,CCL5,1.557254936650136,1.5358374912201098,False
GSE30528,CCL7,-0.1034206212512299,-0.1034206212512299,False
GSE30528,CCNC,-0.12944884281058391,-0.12944884281058391,False
GSE30528,CCNK,-0.06538367915698218,-0.06538367915698218,False
GSE30528,CCNT1,-0.30645803079684564,-0.30645803079684564,False
GSE30528,CCNT2,-0.21831022793135468,-0.3029619769412568,False
GSE30528,CCR1,1.2442573299766135,1.1362731855915222,False
GSE30528,CCR10,0.8844427274532662,0.8844427274532662,False
GSE30528,CCR2,1.442158011706048,1.5265742470822796,False
GSE30528,CCR3,0.3531063493823161,0.3531063493823161,False
GSE30528,CCR4,0.808389365821919,0.808389365821919,False
GSE30528,CCR5,1.7052733688788817,1.7052733688788817,False
GSE30528,CCR6,1.1744946262045017,1.1744946262045017,False
GSE30528,CCR7,1.631430180651678,1.631430180651678,False
GSE30528,CCR8,0.5023449762980527,0.5023449762980527,False
GSE30528,CCR9,0.6436397333051682,0.6436397333051682,False
GSE30528,CCRL2,-0.16681707088921074,-0.16681707088921074,False
GSE30528,CD151,-1.0014162391689547,-1.0014162391689547,False
GSE30528,CD177,-0.12905028236117974,-0.12905028236117974,False
GSE30528,CD19,0.5199023524534827,0.5199023524534827,False
GSE30528,CD2,1.8103775487726226,1.8103775487726226,False
